tournaments.RoundRobinTournament
AIs
	UECD-Best
	UECD-Rushed
	GridNet
	UECD-TopFeats
	UECD-AllFeats
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	0	4	8	950	0	-1	-1	18589588291	59395057560
1	0	4	8	4000	-1	-1	-1	154467522283	99788220253
2	0	4	8	1205	0	-1	-1	26079223651	79607506369
3	0	4	8	795	0	-1	-1	15053427080	53823814811
4	0	4	8	4000	-1	-1	-1	154467522283	93077491398
0	0	1	12	290	0	-1	-1	5213735861	2705965922
1	0	1	12	290	0	-1	-1	5213735861	2714388819
2	0	1	12	290	0	-1	-1	5213735861	2705442018
3	0	1	12	311	0	-1	-1	7016979290	2897232752
4	0	1	12	290	0	-1	-1	5213735861	2700973221
0	0	4	10	1075	0	-1	-1	39309084791	188765727
1	0	4	10	710	0	-1	-1	12414845640	81385035
2	0	4	10	700	0	-1	-1	12178852324	71424798
3	0	4	10	845	0	-1	-1	18258805453	70782445
4	0	4	10	735	0	-1	-1	13146530490	67115427
0	0	11	7	360	1	-1	-1	3181475482	7451743
1	0	11	7	350	1	-1	-1	3076176491	5346960
2	0	11	7	360	1	-1	-1	3169458996	4519176
3	0	11	7	385	1	-1	-1	3443803717	4477741
4	0	11	7	410	1	-1	-1	3709863662	4827819
0	0	17	1	641	0	-1	-1	22818950259	13456535907
1	0	17	1	571	0	-1	-1	11810668892	9412171884
2	0	17	1	606	0	-1	-1	12083153350	10636557554
3	0	17	1	576	0	-1	-1	11453346465	9511748076
4	0	17	1	585	0	-1	-1	11621730301	9740628786
0	0	7	15	1795	0	-1	-1	56714703	177720913185
1	0	7	15	4000	-1	-1	-1	69015004	395780304407
2	0	7	15	2250	1	-1	-1	22292771	222552730183
3	0	7	15	1335	0	-1	-1	14772814	131269285071
4	0	7	15	4000	-1	-1	-1	34692575	375606775191
0	0	18	6	740	0	-1	-1	507475491	6392661
1	0	18	6	740	0	-1	-1	514444806	5210530
2	0	18	6	740	0	-1	-1	457982161	3289461
3	0	18	6	740	0	-1	-1	396169414	3109053
4	0	18	6	740	0	-1	-1	414370900	3046025
0	0	10	18	754	1	-1	-1	82258619	707211977
1	0	10	18	840	1	-1	-1	86074130	767432930
2	0	10	18	750	1	-1	-1	58350847	701397889
3	0	10	18	755	1	-1	-1	56651684	678218921
4	0	10	18	865	1	-1	-1	77136785	794499066
0	0	2	0	885	1	-1	-1	1915000934	44096255599
1	0	2	0	885	1	-1	-1	1915000934	44096255599
2	0	2	0	885	1	-1	-1	1915000934	44096255599
3	0	2	0	885	1	-1	-1	1915000934	44096255599
4	0	2	0	885	1	-1	-1	1915000934	44096255599
0	0	14	12	984	1	-1	-1	236570514	21445914845
1	0	14	12	435	0	-1	-1	83947899	3992725752
2	0	14	12	581	0	-1	-1	132402581	6295871716
3	0	14	12	420	0	-1	-1	71970169	3909250297
4	0	14	12	1421	0	-1	-1	435974161	25275796390
0	0	9	16	1253	0	-1	-1	142570891	31999768
1	0	9	16	1253	0	-1	-1	134945255	25804045
2	0	9	16	1253	0	-1	-1	56177514	13187788
3	0	9	16	1253	0	-1	-1	49387237	11704390
4	0	9	16	1253	0	-1	-1	47261036	11418463
0	0	5	4	745	1	-1	-1	2369905	42256124680
1	0	5	4	845	1	-1	-1	808837	56915845816
2	0	5	4	945	1	-1	-1	620691	86602971884
3	0	5	4	645	1	-1	-1	321961	33351977083
4	0	5	4	685	1	-1	-1	397532	35866943994
0	0	12	11	1035	1	-1	-1	16503822710	19457310838
1	0	12	11	1493	1	-1	-1	30360412130	34149696630
2	0	12	11	777	1	-1	-1	10095130853	13476304326
3	0	12	11	820	0	-1	-1	15100646970	9820381509
4	0	12	11	888	0	-1	-1	16621862589	12538546839
0	0	9	0	835	1	-1	-1	73992389	37133431590
1	0	9	0	835	1	-1	-1	18338150	37133431590
2	0	9	0	835	1	-1	-1	16193083	37133431590
3	0	9	0	835	1	-1	-1	15206776	37133431590
4	0	9	0	835	1	-1	-1	14442251	37133431590
0	0	5	6	838	1	-1	-1	10116393	9425361
1	0	5	6	770	1	-1	-1	2056318	7195047
2	0	5	6	864	1	-1	-1	1887947	6632531
3	0	5	6	743	1	-1	-1	972911	4015889
4	0	5	6	865	1	-1	-1	1159719	5145541
0	0	10	8	935	0	-1	-1	197877635	20435542681
1	0	10	8	1595	0	-1	-1	465758842	31836575744
2	0	10	8	1145	0	-1	-1	177364854	24849100511
3	0	10	8	1545	0	-1	-1	353984607	34120359229
4	0	10	8	1475	0	-1	-1	246920944	25947700692
0	0	16	5	815	0	-1	-1	29534700	1574141
1	0	16	5	740	0	-1	-1	40508927	1111378
2	0	16	5	765	0	-1	-1	10738751	640549
3	0	16	5	728	0	-1	-1	9828298	565588
4	0	16	5	780	0	-1	-1	9118884	534978
0	0	16	15	935	0	-1	-1	43228789	65562492518
1	0	16	15	815	0	-1	-1	25392587	55443950177
2	0	16	15	925	0	-1	-1	24012061	61466310055
3	0	16	15	1055	0	-1	-1	30623650	65550747574
4	0	16	15	835	0	-1	-1	15950699	57930937097
0	0	13	17	835	1	-1	-1	8423607429	17733005512
1	0	13	17	2535	1	-1	-1	31386668603	53514181006
2	0	13	17	915	1	-1	-1	10679675920	18845017637
3	0	13	17	601	1	-1	-1	5978075068	12282119341
4	0	13	17	480	0	-1	-1	6379986807	9788290879
0	0	5	9	895	1	-1	-1	10791474	69843127
1	0	5	9	742	1	-1	-1	1793750	49068469
2	0	5	9	895	1	-1	-1	1775527	42991042
3	0	5	9	925	1	-1	-1	1668039	35787186
4	0	5	9	990	1	-1	-1	2033119	40201416
0	0	10	3	805	1	-1	-1	115545293	30522098835
1	0	10	3	1170	1	-1	-1	72286788	57905125652
2	0	10	3	1125	1	-1	-1	70107521	48557006039
3	0	10	3	1115	1	-1	-1	55149429	47474658705
4	0	10	3	1145	1	-1	-1	60987078	51482342611
0	0	8	16	1025	1	-1	-1	69760111085	60313627
1	0	8	16	1000	1	-1	-1	61836098437	28537227
2	0	8	16	1610	1	-1	-1	100418969803	50983923
3	0	8	16	885	1	-1	-1	59406038706	21938383
4	0	8	16	965	1	-1	-1	61113922681	21330317
0	0	12	7	370	1	-1	-1	3425720441	5113749
1	0	12	7	325	1	-1	-1	3015313631	3479758
2	0	12	7	325	1	-1	-1	3023256733	2383519
3	0	12	7	325	1	-1	-1	3018580304	2098925
4	0	12	7	335	1	-1	-1	3109337984	2239245
0	0	17	8	649	0	-1	-1	13658224411	39051801818
1	0	17	8	778	0	-1	-1	16191619598	51805662003
2	0	17	8	779	0	-1	-1	16042770857	41579705313
3	0	17	8	520	0	-1	-1	10820418388	36767097472
4	0	17	8	685	0	-1	-1	14213238599	35262731689
0	0	13	3	1215	1	-1	-1	13349377488	62223354504
1	0	13	3	1125	1	-1	-1	11503009464	56647165210
2	0	13	3	1101	1	-1	-1	11389004364	55484886276
3	0	13	3	1230	1	-1	-1	12600567742	63736261393
4	0	13	3	1439	1	-1	-1	15105609814	112342306434
0	0	8	2	1205	0	-1	-1	18146526092	3603942236
1	0	8	2	1250	0	-1	-1	23691720263	3796614887
2	0	8	2	1075	0	-1	-1	11592982998	3061737239
3	0	8	2	1405	0	-1	-1	28005617900	5355870754
4	0	8	2	1255	0	-1	-1	25686687205	3814792758
0	0	7	2	395	0	-1	-1	6508009	954064359
1	0	7	2	395	0	-1	-1	2606049	954064359
2	0	7	2	395	0	-1	-1	2287332	954064359
3	0	7	2	395	0	-1	-1	2576301	954064359
4	0	7	2	395	0	-1	-1	2712395	954064359
0	0	18	3	1797	0	-1	-1	3688110260	129370969413
1	0	18	3	1797	0	-1	-1	3122352326	129370969413
2	0	18	3	1797	0	-1	-1	3247815967	129370969413
3	0	18	3	1797	0	-1	-1	3033128324	129370969413
4	0	18	3	1797	0	-1	-1	3010431811	129370969413
0	0	15	12	1505	1	-1	-1	96528083894	45561377634
1	0	15	12	815	0	-1	-1	66131943246	11428429828
2	0	15	12	1144	1	-1	-1	62879557817	39094999218
3	0	15	12	1451	0	-1	-1	126632935155	23065804805
4	0	15	12	1425	1	-1	-1	97241103038	38105726999
0	0	13	7	2725	1	-1	-1	34064371497	32748037
