tournaments.RoundRobinTournament
AIs
	multimap_small_200M_s1
	BestRL-350M
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	2	1	9	915	1	-1	-1	60083385403	11190364603
1	2	1	9	915	1	-1	-1	60083385403	11219399522
2	2	1	9	860	1	-1	-1	59433388432	11197889903
3	2	1	9	860	1	-1	-1	59433388432	11211698145
4	2	1	9	915	1	-1	-1	60083385403	11209250117
0	4	7	4	592	0	-1	-1	95003873	4542134
1	4	7	4	619	0	-1	-1	91035120	6269267
2	4	7	4	715	0	-1	-1	74942938	3348930
3	4	7	4	725	0	-1	-1	67649157	2943300
4	4	7	4	715	0	-1	-1	61027476	2389390
0	3	10	8	350	0	-1	-1	4210993685	2813397413
1	3	10	8	340	0	-1	-1	4095512788	2817356046
2	3	10	8	375	0	-1	-1	4389056362	3358380599
3	3	10	8	1575	0	-1	-1	16568374901	14395659894
4	3	10	8	490	0	-1	-1	6283599888	4713698703
0	4	8	2	538	0	-1	-1	14896559674	613815
1	4	8	2	540	0	-1	-1	15461050142	588624
2	4	8	2	437	0	-1	-1	10652771180	427827
3	4	8	2	489	0	-1	-1	13552970043	527408
4	4	8	2	565	0	-1	-1	16580447529	562549
0	2	8	9	1020	0	-1	-1	11109931872	9824260334
1	2	8	9	1010	0	-1	-1	12136459754	9103634396
2	2	8	9	1030	0	-1	-1	11990593056	10084265496
3	2	8	9	1090	0	-1	-1	17019221443	9792048375
4	2	8	9	810	0	-1	-1	8837388348	7177897908
0	2	0	5	1060	0	-1	-1	6679673581	50854015620
1	2	0	5	885	0	-1	-1	4901810504	50659982624
2	2	0	5	1360	0	-1	-1	13627154588	54687163933
3	2	0	5	971	0	-1	-1	5499633854	54678094106
4	2	0	5	918	0	-1	-1	5069542707	47091788280
0	4	6	1	705	1	-1	-1	132972889	3581931193
